시도별,성별,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04
계,계,4.5,4.7,4.3,4.4,4,4,3.9,3,3.1,3,3.1,3.4,4.1,4.1,4.2,4.2
계,남자,4.4,4.5,4.4,4.6,4.3,4.2,3.9,3.2,3.4,3.2,3.3,3.3,3.9,4,4.2,4.2
계,여자,4.5,5,4.1,4.1,3.7,3.7,3.7,2.8,2.8,2.8,2.7,3.4,4.4,4.2,4.4,4.2
서울특별시,계,5.1,5.3,5.6,5.2,4.9,4.4,4.4,3.8,3.6,3.6,3.4,3.3,4.2,4.3,5,5.3
서울특별시,남자,5.2,5.1,5.6,5.5,5.4,4.8,4.5,4.2,3.8,3.8,3.9,3.2,3.7,4.1,4.7,5
서울특별시,여자,5,5.6,5.5,4.9,4.2,3.8,4.2,3.5,3.4,3.3,2.9,3.5,4.8,4.4,5.4,5.8
부산광역시,계,4.4,4.9,5.1,4.6,3.9,4.1,3.5,2.1,3.3,2.9,3.1,3.1,3.8,4.3,4.3,5
부산광역시,남자,4,4.6,5.3,5,4,4.3,3.3,1.6,3.4,2.9,3.3,3.3,3.5,4.4,4.5,5.4
부산광역시,여자,4.8,5.2,5,4.1,3.7,3.7,3.7,2.8,3,3,2.9,2.9,4.2,4.2,3.9,4.5
대구광역시,계,3.7,4.3,4.4,4.6,4.3,4.1,4.2,3.3,3.1,3,2.7,2.6,3.6,4,4.2,4.1
대구광역시,남자,4,4.3,4.7,4.9,4.7,4.2,4.2,3.3,3.1,3.3,2.9,2.5,3.5,4,4.5,4.6
대구광역시,여자,3.4,4.3,3.9,4.3,3.9,4,4.3,3.3,3.1,2.7,2.5,2.8,3.8,3.9,3.8,3.4
인천광역시,계,4.5,5.4,4.8,4.9,4.1,4.7,4.9,3.8,3.5,3.8,3.9,3.8,4.5,4.2,5.1,4.9
인천광역시,남자,4.9,5.4,5.1,4.8,4,4.9,4.6,3.6,3.4,4,4.1,3.7,4.1,3.8,4.7,4.6
인천광역시,여자,4,5.3,4.4,5.1,4.2,4.5,5.2,4.2,3.7,3.7,3.6,3.9,5,4.7,5.7,5.3
광주광역시,계,4.9,5.3,4.1,4.5,4,3.5,3.3,3.2,3.4,2.7,2.8,2.8,3.8,3.4,3.8,4.2
광주광역시,남자,4.8,5,4.2,5,3.9,3.1,3,2.5,3.1,2.9,2.6,2.4,3.9,3.7,4.4,4.5
광주광역시,여자,5,5.7,3.8,3.7,4.2,4.1,3.7,4.1,3.9,2.5,3,3.4,3.7,3.1,3.1,3.7
대전광역시,계,5.8,5.4,4.7,5.2,4.6,4.6,3.7,2.8,2.9,3.2,3.5,4.2,5.1,5,5.1,5.1
대전광역시,남자,5.7,5.4,4.6,5.4,4.4,4.5,4.6,3.1,3.6,3.8,4.2,4.4,5.3,5.4,5.1,5.2
대전광역시,여자,6.1,5.4,4.8,5,4.9,4.7,2.4,2.3,2,2.4,2.6,4,4.9,4.4,5.1,4.9
울산광역시,계,5.4,5.3,5.2,5.2,4.5,4,3.8,3.1,3.6,3.1,3.6,3.5,5.2,5.3,4.4,4.2
울산광역시,남자,6.3,5.6,5.4,5.3,4.7,4.3,4.2,3.6,3.7,3.1,3.7,3.8,4.9,4.9,3.6,3.9
울산광역시,여자,3.9,4.6,4.8,5,4.1,3.5,3.1,2.3,3.6,3.3,3.4,3,5.7,5.9,5.8,4.7
세종특별자치시,계,2.6,3.5,2,1.8,2.6,2.8,2.9,2.2,2.4,2.6,3.2,3.6,2.7,3.4,3,3.1
세종특별자치시,남자,1.7,2.9,2.1,2,1.9,2.2,2.7,1.8,1.9,2.8,2.8,3.8,2.6,3.7,3.3,3.4
세종특별자치시,여자,3.9,4.5,2,1.6,3.6,3.7,3.3,2.7,3.2,2.4,3.6,3.2,2.8,3,2.6,2.6
경기도,계,4.4,4.6,3.9,4.2,4,3.8,3.9,3.2,3.4,3.1,3.4,3.7,4,4.3,4.2,4
경기도,남자,4.5,4.3,4,4.3,3.9,3.8,3.8,3.4,3.8,3.5,3.9,4.2,4.4,4.5,4,4
경기도,여자,4.2,4.9,3.9,4.1,4.2,3.8,4,2.7,2.8,2.7,2.8,3,3.5,4.2,4.4,4
강원도,계,6.5,6.7,3.7,3.5,3.1,3.4,2.3,2.2,2.3,2.7,2.4,4.9,6.9,4.7,3.7,3.9
강원도,남자,4.7,5.2,4.2,3.6,3.7,3.9,2.6,2.5,2.6,2.6,2.3,4.1,5.9,5.2,3.8,3.8
강원도,여자,8.8,8.5,3.2,3.2,2.3,2.8,1.9,1.7,1.9,2.8,2.5,5.9,8.2,4.1,3.6,4.1
충청북도,계,3,4,3,3.7,3.6,3.7,3.3,2.2,2,1.9,2.5,3.7,4.2,3.7,3.2,2.9
충청북도,남자,2.8,4,3.4,3.8,4.2,4.5,3.4,2.5,2.3,2.2,3,3.7,3.9,3,3.4,3
충청북도,여자,3.4,3.9,2.6,3.6,2.8,2.6,3.1,2,1.6,1.6,2,3.6,4.6,4.7,2.9,2.8
충청남도,계,3,3.1,2.7,3.2,3,3.5,3.4,2.8,3,2.4,2,2.3,3.5,4.2,3.9,3.5
충청남도,남자,2.5,2.6,2.4,3.1,2.8,3,3.2,2.9,3.1,2.3,1.8,1.8,2.8,3.3,3.7,3.1
충청남도,여자,3.7,4,3.3,3.2,3.3,4.1,3.8,2.8,2.9,2.5,2.2,3.1,4.4,5.5,4.3,4.1
전라북도,계,3.8,3.2,3,3,2.4,2.6,2.5,2.4,2.4,2.9,2.1,2.1,2.7,2.9,2.7,2.6
전라북도,남자,3.7,3.2,3.7,3.7,2.7,2.8,2.7,2.9,2.8,3.4,2.9,2.1,2.4,2.7,3.2,3.4
전라북도,여자,3.9,3.3,2.1,2,2,2.2,2.1,1.7,1.9,2.4,1.1,2,3,3.1,2.1,1.5
전라남도,계,2.3,3.2,3,3.3,3,3.8,3.4,1.9,1.8,1.4,1.5,2,3.7,3,2.6,2.5
전라남도,남자,1.9,2.6,3.8,3.9,3.3,3.9,3.6,1.9,1.8,1.4,1.7,2,3.3,2.9,2.5,2.6
전라남도,여자,2.8,4,1.9,2.5,2.7,3.6,3.1,1.8,1.9,1.5,1.3,1.9,4.3,3.2,2.6,2.3
경상북도,계,5.6,5.1,4.1,4.9,4.1,4.4,3.3,2.7,3,3,2.5,4.3,5.2,3.8,3.7,4.1
경상북도,남자,5,5.3,4.2,5.5,5,5.2,4.2,3.3,3.7,3.7,2.9,3.9,4.8,3.9,3.7,4.6
경상북도,여자,6.6,4.7,3.9,4,2.9,3.3,2,1.9,1.9,2,2.1,5,5.7,3.7,3.7,3.4
경상남도,계,4.2,4.7,4.2,4.7,4.1,4.6,4.7,2.8,2.7,2.9,2.9,2.7,3.6,3.9,4.7,3.9
경상남도,남자,4.4,5,4.6,5,4.9,4.8,4.8,2.8,2.7,2.3,2.5,2.2,3,3.3,4.7,4
경상남도,여자,3.9,4.3,3.5,4.2,3.1,4.2,4.7,2.9,2.8,3.9,3.6,3.4,4.4,4.6,4.8,3.8
제주도,계,2.8,2.8,2.1,2.6,2.4,1.9,2.4,1.5,1.6,1.6,1.6,2.2,2.7,2.7,2.8,2.6
제주도,남자,2.2,2.9,2.1,2.5,2.5,1.8,2.5,2.2,2.7,1.9,1.6,1.4,1.7,2.1,3.2,3.4
제주도,여자,3.5,2.6,2.1,2.9,2.3,2,2.3,0.7,0.4,1.3,1.6,3,3.8,3.3,2.4,1.5
